AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-5061,"Production, Planning, and Expediting Clerks",detailed,120,5.8,1.589,0.61,,,28,58230,1.4,20.19,22.6,27.73,33.74,36.49,42000,47010,57690,70170,75900,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,370,3.6,5.044,0.91,,,19.83,41240,1,15.36,17.11,18.72,22.6,23.73,31950,35580,38940,47020,49360,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,480,2.5,6.635,2.08,,,21.92,45600,1,18.09,18.09,18.09,23.58,29.8,37630,37630,37630,49050,61980,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-6012,Legal Secretaries and Administrative Assistants,detailed,60,9.6,0.833,0.83,,,23.35,48570,3.5,17.54,19.23,22.15,25.64,30.56,36490,39990,46080,53340,63560,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-6013,Medical Secretaries and Administrative Assistants,detailed,340,5.4,4.697,0.95,,,18.73,38960,1,14.83,16.89,17.78,21.49,22.79,30850,35130,36980,44700,47400,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,240,4.9,3.222,0.27,,,19.85,41290,1.5,13.86,16.13,18.03,22.5,27.26,28820,33550,37510,46810,56700,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-9021,Data Entry Keyers,detailed,250,1.8,3.422,3.37,,,20.78,43220,2.1,15.5,18.22,20.54,23.47,26.23,32230,37900,42730,48810,54560,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-9041,Insurance Claims and Policy Processing Clerks,detailed,90,24.5,1.237,0.78,,,18.89,39280,8.3,13.53,14.88,18.09,22.35,24.06,28140,30950,37620,46490,50040,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-9061,"Office Clerks, General",detailed,1220,2,16.747,1.02,,,19.81,41210,1.6,13.19,15.13,18.22,23.37,28.6,27430,31470,37900,48620,59480,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,43-9199,"Office and Administrative Support Workers, All Other",detailed,100,4.8,1.396,1.23,,,20.9,43480,1.3,18.49,18.49,18.49,23.04,23.04,38470,38470,38470,47920,47920,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,45-0000,"Farming, Fishing, and Forestry Occupations",major,60,7.6,0.766,0.27,,,19.51,40580,4.7,10.15,15.37,18.04,22.48,28.49,21100,31980,37510,46760,59270,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,2470,1.2,33.866,0.83,,,29.13,60590,0.6,18.07,22.51,28.44,36.12,44.3,37580,46820,59160,75130,92140,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,240,3.2,3.274,0.64,,,36.84,76630,1.1,23.96,28.96,36.41,44.3,47.47,49830,60230,75730,92140,98740,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2021,Brickmasons and Blockmasons,detailed,30,7,0.463,1.24,,,26.76,55660,3.5,16.44,23.1,25.13,32.2,36.62,34200,48050,52260,66980,76180,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2031,Carpenters,detailed,320,9.7,4.354,0.94,,,27.84,57920,3,18.92,22.28,28.73,34.27,37.41,39350,46340,59750,71280,77800,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2051,Cement Masons and Concrete Finishers,detailed,70,16.5,0.97,0.72,,,26.6,55330,2.2,18.44,23.12,27.69,30.34,34.04,38350,48080,57600,63100,70800,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2061,Construction Laborers,detailed,610,6.2,8.398,1.25,,,28.28,58830,0.9,17.57,22.38,26.5,31.33,44.69,36550,46550,55120,65170,92960,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,250,5.9,3.363,1.13,,,31.01,64490,1.1,19.63,23.64,30.53,38.73,38.73,40830,49160,63510,80560,80560,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2111,Electricians,detailed,220,7.4,3.028,0.65,,,33.07,68780,1.8,21.76,24.64,29.42,40.09,45.37,45270,51250,61200,83380,94370,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2141,"Painters, Construction and Maintenance",detailed,100,8.9,1.313,0.92,,,23.15,48150,1.9,16.74,18.07,23.06,23.55,25.58,34820,37580,47970,48970,53200,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,140,7.6,1.957,0.68,,,33.33,69330,2.4,21.94,23.05,31.42,44.87,44.87,45630,47940,65360,93330,93330,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2181,Roofers,detailed,80,6.8,1.137,1.28,,,24.27,50480,2.7,18.03,18.62,22.84,28.23,30.21,37500,38720,47520,58710,62830,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-2211,Sheet Metal Workers,detailed,40,11,0.497,0.65,,,29.73,61830,2,21.41,24.02,30.68,30.68,40.51,44530,49950,63810,63810,84260,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-4011,Construction and Building Inspectors,detailed,60,10.1,0.881,1,,,31.36,65240,1.4,23.69,25.26,30.32,36.38,36.38,49280,52540,63070,75670,75670,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-4051,Highway Maintenance Workers,detailed,40,16,0.585,0.59,,,20.81,43270,3.1,16.1,18.25,19.68,22.92,25.6,33490,37960,40930,47670,53250,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,47-5051,"Rock Splitters, Quarry",detailed,50,13.1,0.701,29.46,,,23.44,48750,4.2,18.15,18.25,23.43,30.33,30.34,37760,37960,48730,63090,63100,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,2630,1.8,35.967,0.91,,,25.73,53520,0.7,15.22,18.54,23.42,29.62,39.2,31660,38560,48710,61600,81540,,
